result,home_elo,away_elo,home_recent_goals_scored_home,home_recent_goals_scored_away,home_recent_goals_conceded_home,home_recent_goals_conceded_away,home_recent_home_games_won,home_recent_home_games_lost,home_recent_away_games_won,home_recent_away_games_lost,away_recent_goals_scored_home,away_recent_goals_scored_away,away_recent_goals_conceded_home,away_recent_goals_conceded_away,away_recent_home_games_won,away_recent_home_games_lost,away_recent_away_games_won,away_recent_away_games_lost
D,1778.12976074,1882.82592773,0,3,0,2,0,0,1,0,1,0,0,0,1,0,0,0
A,1554.26098633,1666.78930664,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0,0
H,1875.01794434,1665.36218262,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
H,1643.92822266,1770.27575684,0,0,0,3,0,0,0,1,4,0,0,0,1,0,0,0
D,1652.12780762,1642.75476074,0,0,0,0,0,0,0,1,4,0,1,0,1,0,0,0
H,1670.09521484,1676.89233398,0,2,0,2,0,0,0,1,0,0,1,0,0,1,0,0
A,1581.13049316,1783.07385254,0,0,0,1,0,0,0,1,3,0,0,0,1,0,0,0
D,1666.47839355,1881.18029785,0,0,0,4,0,0,0,1,2,0,0,0,1,0,0,0
H,1877.16052246,1574.36889648,2,2,0,2,1,0,0,1,1,0,3,1,0,1,0,1
H,1671.77270508,1654.64733887,0,0,1,1,0,1,0,1,1,0,0,3,1,0,0,1
D,1675.03442383,1880.71838379,0,1,0,0,0,1,1,0,3,1,0,0,1,0,1,0
D,1640.04064941,1548.94897461,2,1,2,0,0,1,1,0,0,0,1,2,0,1,0,1
D,1662.59484863,1780.68811035,0,0,0,3,0,1,0,1,2,3,2,2,0,1,1,0
H,1553.51281738,1777.92285156,0,1,1,3,0,1,0,2,3,3,1,1,1,1,1,0
H,1649.08972168,1636.11523438,1,0,0,4,1,0,0,2,3,1,3,0,0,2,1,0
H,1651.75854492,1679.16235352,2,0,2,0,0,1,0,1,2,1,2,0,0,2,1,0
H,1687.37207031,1664.39282227,1,3,0,2,1,0,1,1,1,0,1,3,0,2,0,1
H,1573.61096191,1646.69567871,1,2,3,6,0,1,0,2,4,2,1,2,1,0,0,1
